Name,Publisher,NA Sales (Million),EU Sales (Million),JP Sales (Million), Other Sales (Million),Global Sales (Million)
Call of Duty: Modern Warfare 3,Activision,9.04,4.24,0.13,1.32,14.73
Call of Duty: Black Ops 3,Activision,6.03,5.86,0.36,2.38,14.63
Call of Duty: Black Ops,Activision,9.7,3.68,0.11,1.13,14.61
Call of Duty: Black Ops II,Activision,4.99,5.73,0.65,2.42,13.79
Call of Duty: Black Ops II,Activision,8.25,4.24,0.07,1.12,13.67
Call of Duty: Modern Warfare 2,Activision,8.52,3.59,0.08,1.28,13.47
Call of Duty: Modern Warfare 3,Activision,5.54,5.73,0.49,1.57,13.32
Call of Duty: Black Ops,Activision,5.99,4.37,0.48,1.79,12.63
Call of Duty: Modern Warfare 2,Activision,4.99,3.64,0.38,1.6,10.6
Call of Duty: Ghosts,Activision,6.73,2.56,0.04,0.91,10.25
Call of Duty: Ghosts,Activision,4.1,3.63,0.38,1.25,9.36
Call of Duty 4: Modern Warfare,Activision,5.93,2.36,0.13,0.9,9.31
Call of Duty: Advanced Warfare,Activision,2.81,3.48,0.14,1.23,7.66
Call of Duty: Black Ops 3,Activision,4.59,2.11,0.01,0.68,7.39
Call of Duty: World at War,Activision,4.81,1.88,0,0.69,7.38
Call of Duty 4: Modern Warfare,Activision,3.11,2.26,0.28,1.03,6.68
World of Warcraft,Activision,0.08,6.21,0,0,6.29
Destiny,Activision,2.49,2.07,0.16,0.92,5.64
Call of Duty: World at War,Activision,2.73,1.83,0,0.83,5.39
Call of Duty: Advanced Warfare,Activision,3.22,1.55,0.01,0.48,5.27
Diablo III,Activision,2.44,2.16,0,0.54,5.14
The Elder Scrolls V: Skyrim,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79
Fallout 4,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16
The Elder Scrolls V: Skyrim,Bethesda Softworks,2.55,2.6,0.25,1,6.41
Street Fighter II: The World Warrior,Capcom,2.47,0.83,2.87,0.12,6.3
Monster Hunter Freedom Unite,Capcom,0.47,0.55,4.13,0.34,5.48
FIFA 16,Electronic Arts,1.12,6.12,0.06,1.28,8.57
FIFA Soccer 13,Electronic Arts,1.06,5.01,0.13,1.97,8.16
The Sims 3,Electronic Arts,0.99,6.42,0,0.6,8.01
Star Wars Battlefront (2015),Electronic Arts,2.99,3.49,0.22,1.28,7.98
FIFA 17,Electronic Arts,0.66,5.75,0.08,1.11,7.59
Battlefield 3,Electronic Arts,4.46,2.11,0.06,0.69,7.32
Need for Speed Underground,Electronic Arts,3.27,2.83,0.08,1.02,7.2
Battlefield 3,Electronic Arts,2.85,2.89,0.35,1.08,7.17
Need for Speed Underground 2,Electronic Arts,2.71,3.02,0.08,1.09,6.9
Medal of Honor: Frontline,Electronic Arts,2.93,2.75,0.17,0.99,6.83
FIFA 12,Electronic Arts,0.84,4.3,0.11,1.39,6.65
FIFA 14,Electronic Arts,0.78,4.24,0.07,1.37,6.47
FIFA 15,Electronic Arts,0.8,4.33,0.05,0.9,6.08
Final Fantasy X-2,Electronic Arts,1.92,1.08,2.11,0.17,5.29
Madden NFL 2004,Electronic Arts,4.26,0.26,0.01,0.71,5.23
FIFA Soccer 13,Electronic Arts,1.09,3.47,0.03,0.57,5.16
Medal of Honor: Rising Sun,Electronic Arts,1.98,2.23,0.13,0.8,5.13
Metal Gear Solid 2: Sons of Liberty,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
Metal Gear Solid,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
Metal Gear Solid 4: Guns of the Patriots,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99
LEGO Star Wars: The Complete Saga,LucasArts,3.57,1.55,0,0.51,5.64
Kinect Adventures!,Microsoft Game Studios,15,4.89,0.24,1.69,21.81
Halo 3,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12
Halo: Reach,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86
Halo 4,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71
Minecraft,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18
Halo 2,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
Gears of War 2,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75
Halo: Combat Evolved,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
Halo 3: ODST,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34
Gears of War 3,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21
Kinect Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19
Gears of War,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09
Forza Motorsport 3,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49
Microsoft Flight Simulator,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
Fable III,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1
Wii Sports,Nintendo,41.36,28.96,3.77,8.45,82.53
Super Mario Bros.,Nintendo,29.08,3.58,6.81,0.77,40.24
Mario Kart Wii,Nintendo,15.68,12.76,3.79,3.29,35.52
Wii Sports Resort,Nintendo,15.61,10.93,3.28,2.95,32.77
Pokemon Red/Pokemon Blue,Nintendo,11.27,8.89,10.22,1,31.37
Tetris,Nintendo,23.2,2.26,4.22,0.58,30.26
New Super Mario Bros.,Nintendo,11.28,9.14,6.5,2.88,29.8
Wii Play,Nintendo,13.96,9.18,2.93,2.84,28.92
New Super Mario Bros. Wii,Nintendo,14.44,6.94,4.7,2.24,28.32
Duck Hunt,Nintendo,26.93,0.63,0.28,0.47,28.31
Nintendogs,Nintendo,9.05,10.95,1.93,2.74,24.67
Mario Kart DS,Nintendo,9.71,7.47,4.13,1.9,23.21
Pokemon Gold/Pokemon Silver,Nintendo,9,6.18,7.2,0.71,23.1
Wii Fit,Nintendo,8.92,8.03,3.6,2.15,22.7
Wii Fit Plus,Nintendo,9.01,8.49,2.53,1.77,21.79
Super Mario World,Nintendo,12.78,3.75,3.54,0.55,20.61
Brain Age: Train Your Brain in Minutes a Day,Nintendo,4.74,9.2,4.16,2.04,20.15
Pokemon Diamond/Pokemon Pearl,Nintendo,6.38,4.46,6.04,1.36,18.25
Super Mario Land,Nintendo,10.83,2.71,4.18,0.42,18.14
Super Mario Bros. 3,Nintendo,9.54,3.44,3.84,0.46,17.28
Pokemon Ruby/Pokemon Sapphire,Nintendo,6.06,3.9,5.38,0.5,15.85
Brain Age 2: More Training in Minutes a Day,Nintendo,3.43,5.35,5.32,1.18,15.29
Pokemon Black/Pokemon White,Nintendo,5.51,3.17,5.65,0.8,15.14
Pokémon Yellow: Special Pikachu Edition,Nintendo,5.89,5.04,3.12,0.59,14.64
Pokemon X/Pokemon Y,Nintendo,5.28,4.19,4.35,0.78,14.6
Super Smash Bros. Brawl,Nintendo,6.62,2.55,2.66,1.01,12.84
Mario Kart 7,Nintendo,5.03,4.02,2.69,0.91,12.66
Animal Crossing: Wild World,Nintendo,2.5,3.45,5.33,0.86,12.13
Super Mario 64,Nintendo,6.91,2.85,1.91,0.23,11.89
Pokemon HeartGold/Pokemon SoulSilver,Nintendo,4.34,2.71,3.96,0.76,11.77
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Nintendo,4.35,3.49,3.1,0.74,11.68
Super Mario Galaxy,Nintendo,6.06,3.35,1.2,0.74,11.35
Super Mario Land 2: 6 Golden Coins,Nintendo,6.16,2.04,2.69,0.29,11.18
Super Mario 3D Land,Nintendo,4.89,3,2.14,0.78,10.81
Super Mario All-Stars,Nintendo,5.99,2.15,2.12,0.29,10.55
Pokemon FireRed/Pokemon LeafGreen,Nintendo,4.34,2.65,3.15,0.35,10.49
Super Mario 64,Nintendo,5.01,3.07,1.25,0.97,10.3
New Super Mario Bros. 2,Nintendo,3.66,3.14,2.47,0.63,9.9
Mario Kart 64,Nintendo,5.55,1.94,2.23,0.15,9.87
Donkey Kong Country,Nintendo,4.36,1.71,3,0.23,9.3
Animal Crossing: New Leaf,Nintendo,2.03,2.36,4.39,0.39,9.16
Mario Party DS,Nintendo,4.4,1.85,1.98,0.68,8.91
Super Mario Kart,Nintendo,3.54,1.24,3.81,0.18,8.76
Wii Party,Nintendo,1.75,3.47,2.49,0.67,8.38
Mario Party 8,Nintendo,3.74,2.24,1.58,0.7,8.27
GoldenEye 007,Nintendo,5.8,2.01,0.13,0.15,8.09
Pokemon Black 2/Pokemon White 2,Nintendo,2.79,1.72,3.14,0.41,8.07
Pokémon Platinum Version,Nintendo,2.76,1.72,2.69,0.54,7.72
The Legend of Zelda: Ocarina of Time,Nintendo,4.1,1.89,1.45,0.16,7.6
Super Smash Bros. for Wii U and 3DS,Nintendo,3.27,1.37,2.43,0.48,7.55
Super Mario Galaxy 2,Nintendo,3.56,2.35,0.98,0.62,7.51
Super Mario Bros. 2,Nintendo,5.39,1.18,0.7,0.19,7.46
The Legend of Zelda: Twilight Princess,Nintendo,3.74,2.14,0.6,0.68,7.15
Pokemon Sun/Moon,Nintendo,2.98,1.45,2.26,0.45,7.14
Mario Kart 8,Nintendo,3.15,2.15,1.28,0.51,7.09
Super Smash Bros. Melee,Nintendo,4.41,1.04,1.39,0.22,7.07
Mario Kart: Double Dash!!,Nintendo,4.12,1.77,0.87,0.19,6.95
Big Brain Academy,Nintendo,1.66,2.75,1.6,0.62,6.62
The Legend of Zelda,Nintendo,3.74,0.93,1.69,0.14,6.51
Donkey Kong Country Returns,Nintendo,3.17,1.79,1.03,0.46,6.44
Pokémon Emerald Version,Nintendo,2.57,1.58,2.06,0.21,6.41
Pokémon Crystal Version,Nintendo,2.55,1.56,1.29,0.99,6.39
Super Mario Sunshine,Nintendo,4.01,1.26,0.87,0.17,6.31
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,0.63,0.67,4.35,0.15,5.78
Tetris,Nintendo,2.97,0.69,1.81,0.11,5.58
Super Smash Bros.,Nintendo,2.95,0.6,1.97,0.04,5.55
Super Mario Advance,Nintendo,3.14,1.24,0.91,0.2,5.49
Mario Kart: Super Circuit,Nintendo,2.62,1.64,0.99,0.23,5.47
Super Mario World,Nintendo,3.21,1.11,0.95,0.2,5.46
Pokemon Stadium,Nintendo,3.18,1.24,0.94,0.09,5.45
Dr. Mario,Nintendo,2.18,0.96,2,0.2,5.34
Pokemon Pinball,Nintendo,3.02,1.12,1.01,0.16,5.31
Donkey Kong 64,Nintendo,3.33,0.79,1.09,0.06,5.27
Tomodachi Life,Nintendo,0.97,2.11,1.9,0.24,5.23
New Super Mario Bros. U,Nintendo,2.3,1.34,1.27,0.32,5.22
Super Mario Bros. 3,Nintendo,2.93,1.25,0.83,0.2,5.2
Professor Layton and the Curious Village,Nintendo,1.21,2.43,1.03,0.52,5.19
